,prcp,et,disch,swe,stn_swe,gw
2011-03-31 00:00:00.000000000,313.40678946345497,24.649608346555894,,10.299194596053628,10.612903225806452,60.97290322580645
2011-04-30 00:00:00.000000000,297.093659407775,36.96252779977516,,2.6684507244976956,9.57,60.115333333333325
2011-05-31 00:00:00.000000000,155.9617765073258,75.17313734749725,,0.7857463819949844,1.5161290322580647,59.18032258064517
2011-06-30 00:00:00.000000000,71.22182672542,89.74455406288844,,0.07395100108011447,0.0,58.752666666666656
2011-07-31 00:00:00.000000000,45.840094222180305,123.81042898076115,,0.0008796051911149767,0.0,59.232580645161285
2011-08-31 00:00:00.000000000,2.131775339748261,108.67400636514,,0.0,0.0,59.692580645161286
2011-09-30 00:00:00.000000000,29.37027975650476,33.092364070618586,,0.0,0.0,60.16033333333333
2011-10-31 00:00:00.000000000,134.10745116512592,13.861026259986337,,0.00087955744273905,0.0,59.94322580645161
2011-11-30 00:00:00.000000000,245.39676761598722,7.652494091388541,,0.32419212592585706,0.8900000000000001,60.18233333333333
2011-12-31 00:00:00.000000000,203.45004866147815,2.857876415499137,,0.3772664981567269,2.2161290322580642,60.57064516129033
2012-01-31 00:00:00.000000000,416.13552970337696,2.629615860584331,,14.296471483243998,4.796774193548386,60.9083870967742
2012-02-29 00:00:00.000000000,211.47388120478297,5.8604139259173715,,13.918046253146125,7.80344827586207,61.081034482758625
2012-03-31 00:00:00.000000000,433.85324633067773,13.32166798624563,,22.572439767023894,12.467741935483874,60.924516129032256
2012-04-30 00:00:00.000000000,171.94537442980533,20.560492288967115,,13.078787249607073,12.106666666666667,60.42733333333332
2012-05-31 00:00:00.000000000,119.00498363480108,74.6885364770852,,5.058923903523492,0.19677419354838713,59.76806451612902
2012-06-30 00:00:00.000000000,156.03049077600866,82.05686355019266,,1.2160374339138555,0.0,59.36666666666667
2012-07-31 00:00:00.000000000,18.267855609632367,129.3333508434415,,0.10602245323820475,0.0,60.20290322580646
2012-08-31 00:00:00.000000000,1.6735405400402537,84.85871230783799,,0.0033718198992740774,0.0,61.6625806451613
2012-09-30 00:00:00.000000000,2.248209972782101,49.20141631180415,,0.0,0.0,62.16133333333334
2012-10-31 00:00:00.000000000,255.63204014773424,7.456699358252984,,0.0,0.0,61.90870967741937
2012-11-30 00:00:00.000000000,304.1032259205122,2.519390532485277,,0.03569267061595696,0.056666666666666664,61.74800000000002
2012-12-31 00:00:00.000000000,345.1309214120348,1.7258156968932479,,5.713465129841406,2.0903225806451613,61.69161290322581
2013-01-31 00:00:00.000000000,187.82675080066792,3.7784370195427956,,2.447769913316923,5.774193548387097,61.176451612903236
2013-02-28 00:00:00.000000000,122.07865127539307,6.4920901120935355,,0.36620286426592286,8.564285714285713,60.44428571428572
2013-03-31 00:00:00.000000000,133.41986773935548,15.956019333663626,,1.0786570667385769,9.222580645161294,59.88774193548387
2013-04-30 00:00:00.000000000,156.4237853739104,31.802507690870897,,0.24107834017589563,2.01,59.670333333333346
2013-05-31 00:00:00.000000000,161.5801491329673,54.59377433760384,,0.022493026989467476,0.0,59.49612903225807
2013-06-30 00:00:00.000000000,72.00348123303823,76.75038954027553,,0.0,0.0,59.77933333333335
2013-07-31 00:00:00.000000000,0.06621172926874479,120.94604788175555,,0.0,0.0,61.28322580645161
2013-08-31 00:00:00.000000000,34.153798719498575,109.32605238700475,,0.0,0.0,61.75000000000001
2013-09-30 00:00:00.000000000,254.96447081069545,47.304840461698106,,0.0,0.0,61.900666666666666
2013-10-31 00:00:00.000000000,91.78923176024946,5.649201320914168,,0.0,0.0032258064516129032,61.98096774193551
2013-11-30 00:00:00.000000000,183.27881372912333,2.492156511478568,,0.8769929432295597,0.13,62.172666666666665
2013-12-31 00:00:00.000000000,139.73239826292198,1.988402741576473,,8.08842957862802,0.4483870967741933,62.41451612903226
2014-01-31 00:00:00.000000000,175.58183514859752,2.794502684220621,,1.4245767133370815,0.8064516129032255,62.5707142857143
2014-02-28 00:00:00.000000000,338.1521121493182,18.93372171095535,,28.591306547286607,4.264285714285713,62.53240000000001
2014-03-31 00:00:00.000000000,354.76269782567306,21.416629299368864,,8.660449568047575,5.4709677419354845,62.1983870967742
2014-04-30 00:00:00.000000000,172.59544052836043,40.67544432020215,,1.1774796810788166,0.8933333333333333,61.48266666666665
2014-05-31 00:00:00.000000000,143.7568981577336,59.90605810190122,,0.2083047535903477,0.0,60.99483870967742
2014-06-30 00:00:00.000000000,89.1035537893403,82.9480998820478,,0.08013691960608058,0.0,60.81766666666668
2014-07-31 00:00:00.000000000,32.115815501397236,119.73969878016501,,0.0039582233600173955,0.0,61.25354838709676
2014-08-31 00:00:00.000000000,31.06687919587419,107.38910893124913,,0.0,0.0,61.836774193548386
2014-09-30 00:00:00.000000000,42.28025023830078,57.16394703773378,,0.0,0.0,62.52499999999999
2014-10-31 00:00:00.000000000,233.5734236654709,3.1078673439718467,,0.00029320173037165897,0.0,62.411935483870984
2014-11-30 00:00:00.000000000,260.19735708826283,8.497751816012372,,14.438998719845237,0.72,62.60666666666668
2014-12-31 00:00:00.000000000,305.1425039439541,3.591353525181841,,9.890165371173936,0.3967741935483871,62.86645161290322
2015-01-31 00:00:00.000000000,132.43899218678445,2.1804752857715655,,1.8666305450527876,1.3193548387096778,62.90806451612903
2015-02-28 00:00:00.000000000,154.3973143826447,6.634632420883316,,0.012412351420594143,0.014285714285714287,62.80357142857143
2015-03-31 00:00:00.000000000,155.016557052405,8.899527939452625,,0.014132023832165205,0.0,62.53161290322579
2015-04-30 00:00:00.000000000,117.90968764657731,31.09986342996083,,0.0,0.0,62.133
2015-05-31 00:00:00.000000000,79.53468220183434,57.611155463517285,,0.0,0.0,61.8190322580645
2015-06-30 00:00:00.000000000,16.317932948361637,52.37354492218761,,0.0,0.0,62.103333333333325
2015-07-31 00:00:00.000000000,12.382537941673665,113.69360104993466,,0.0,0.0,62.73225806451613
2015-08-31 00:00:00.000000000,36.216476501701976,93.76633442100756,,0.0,0.0,63.19709677419355
2015-09-30 00:00:00.000000000,49.92468907036422,61.08354485766615,,0.0,0.0,63.43866666666667
2015-10-31 00:00:00.000000000,148.875153372919,15.89474684333237,,0.0,0.0,63.70258064516129
2015-11-30 00:00:00.000000000,273.6296017522534,5.638752792565175,,0.20230912761214598,0.20999999999999996,63.99166666666666
2015-12-31 00:00:00.000000000,512.7586207244063,1.7625178896035554,,1.4821542711210687,3.1225806451612907,64.04241379310346
2016-01-31 00:00:00.000000000,263.79784454425555,2.346090812858982,,32.857042898707746,7.803225806451613,64.05580645161292
2016-02-29 00:00:00.000000000,200.7168448495962,1.7819145369489737,,9.002022672827259,9.024137931034483,63.7796551724138
2016-03-31 00:00:00.000000000,286.8316186142299,7.777923426124327,,1.760252696864164,8.190322580645162,63.190322580645166
2016-04-30 00:00:00.000000000,115.2455078962567,9.237285078434347,,0.21836103829893438,1.2166666666666666,62.629999999999995
2016-05-31 00:00:00.000000000,78.5858048275719,53.885838415596616,,0.012094571377830933,0.0,62.450967741935486
2016-06-30 00:00:00.000000000,85.23637547831996,69.95496361552112,,0.0,0.0,62.84
2016-07-31 00:00:00.000000000,18.627066190207962,139.78425167258283,,0.0,0.0,63.29032258064515
2016-08-31 00:00:00.000000000,4.046211207576045,100.90554564158568,,0.0,0.0,63.85645161290323
2016-09-30 00:00:00.000000000,76.73781336947408,56.51784534038021,,0.0,0.0,64.01566666666665
2016-10-31 00:00:00.000000000,407.26080344615957,9.980035742558588,,0.0,0.0,64.13645161290324
2016-11-30 00:00:00.000000000,228.0086834152488,0.3950010030617478,,0.011816029733977856,0.06333333333333334,64.28466666666667
2016-12-31 00:00:00.000000000,283.11479049653633,0.1725462486054571,,29.692854657160822,4.919354838709677,64.23838709677419
2017-01-31 00:00:00.000000000,155.73279352809308,0.2247681070263174,,45.969343143789004,11.045161290322582,63.88290322580645
2017-02-28 00:00:00.000000000,349.532242067241,1.7644023683978842,,45.32186076282957,15.242857142857142,63.13714285714286
2017-03-31 00:00:00.000000000,364.6624014387759,9.355504521180945,,33.79380143869512,16.232258064516127,62.158709677419345
2017-04-30 00:00:00.000000000,209.9379623633959,44.18027644219503,,14.858580004427598,7.756666666666669,60.88333333333334
2017-05-31 00:00:00.000000000,119.52906681447905,46.47447802611844,,4.4858738016186015,0.016129032258064516,60.048709677419346
2017-06-30 00:00:00.000000000,69.22182389566487,74.51302788632793,,0.3190542623403234,0.0,59.937666666666665
2017-07-31 00:00:00.000000000,0.0,122.458723819894,,0.0067436397985481565,0.0,60.96
2017-08-31 00:00:00.000000000,4.457698611276286,89.39513061770128,,0.0,0.0,62.303548387096775
2017-09-30 00:00:00.000000000,119.69519918421227,43.35672101870509,,0.0,0.0,63.29099999999999
2017-10-31 00:00:00.000000000,239.97050967516367,12.785805950546987,,0.006371297438582245,0.0,63.61032258064515
2017-11-30 00:00:00.000000000,299.7383267684165,0.5802664058188214,,0.005377808404566843,1.1900000000000002,62.24933333333335
2017-12-31 00:00:00.000000000,181.88802650233728,0.24177068047383782,,5.336572351642997,1.925806451612903,62.25580645161289
2018-01-31 00:00:00.000000000,251.36573103115887,0.3442227306473741,,0.29586491217841915,3.4741935483870967,62.148387096774194
2018-02-28 00:00:00.000000000,184.61968089123133,5.3380579921882605,,13.175716624803789,4.082142857142857,61.72892857142857
2018-03-31 00:00:00.000000000,158.78618430843903,13.871917063993445,,31.12310530246202,8.364516129032259,61.306666666666665
2018-04-30 00:00:00.000000000,213.17745703527478,29.77222602574589,,12.117507443410698,4.193333333333334,60.84100000000001
2018-05-31 00:00:00.000000000,18.57435334966531,53.84079588633267,,1.7566957463764101,0.0,60.456129032258055
2018-06-30 00:00:00.000000000,37.830474808386306,85.18951415696398,,0.007412575878127215,0.0,61.980666666666664
2018-07-31 00:00:00.000000000,0.5170170751911405,107.36045226409735,,0.0,0.0,61.916774193548385
2018-08-31 00:00:00.000000000,9.327343832925553,88.81624599571504,,0.0,0.0,62.231290322580655
2018-09-30 00:00:00.000000000,29.18127954235119,50.92231955692833,,0.0,0.0,62.95133333333334
2018-10-31 00:00:00.000000000,139.4513113942497,9.70663524983705,,0.0,0.0,62.861290322580636
2018-11-30 00:00:00.000000000,197.80031236740334,0.12230104834581457,,0.0021968326899354292,0.14,63.091
2018-12-31 00:00:00.000000000,299.54089095340635,0.14366208880033224,,0.46258488645510165,1.2741935483870968,63.57387096774195
